"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0.00700547486697153,-0.615583613537949,0.325,0.46,1,"Lgals1"
0.00712022745788234,-1.37583732123605,0.045,0.12,1,"Slc25a25"
0.00714307248629139,-0.835220641235155,0.085,0.18,1,"Eva1b"
0.00725412662270074,-1.00440099292554,0.125,0.22,1,"mt-Nd6"
0.00734504357105986,-0.484607741268999,0.2,0.325,1,"Tbcb"
0.00778833925589003,-0.911188561564694,0.105,0.2,1,"Eif1ax"
0.00795223405424893,2.0346657331,0.1,0.035,1,"Rabggtb"
0.00801192446053058,-0.619849156903589,0.32,0.445,1,"Mrpl23"
0.00807795312215197,-1.43166539800532,0.04,0.11,1,"Phtf2"
0.00813949185876186,0.341572055042253,0.9,0.905,1,"mt-Nd3"
0.00824337291489801,-0.611804115072206,0.405,0.49,1,"Qk"
0.00838423490205937,-1.52566381693607,0.035,0.1,1,"Nacc2"
0.00840858065543107,0.678967378510265,0.31,0.205,1,"Pcna"
0.00846337294312975,-0.360046564979878,0.76,0.825,1,"Trf"
0.00846687194053214,-1.80632579725182,0.045,0.115,1,"Golga5"
0.00848277517481775,-0.965689003939576,0.17,0.275,1,"March7"
0.0084864215974219,0.750634301529361,0.215,0.115,1,"Wdr89"
0.00853790291632214,-0.288581393639444,0.73,0.835,1,"Atp6v0b"
0.00877341883132982,-0.52669950962741,0.18,0.3,1,"Dnm2"
0.00888095948860977,-1.53470671835065,0.055,0.13,1,"Arl3"
0.00911306639382537,-1.36837367173513,0.08,0.165,1,"Oxr1"
0.00914331565677477,-0.839824929377394,0.225,0.345,1,"Ndufab1"
0.00916715575744183,0.454110720596876,0.67,0.615,1,"Tomm7"
0.00917010475773163,0.303800369157029,1,1,1,"Malat1"
0.00922246460617099,-0.729888747590334,0.2,0.315,1,"Trappc4"
0.00927984140558005,-1.02358471460457,0.09,0.18,1,"Trappc10"
0.0092899531613784,1.15162569140915,0.15,0.07,1,"Stat2"
0.00941133662399308,-0.561448127259639,0.19,0.315,1,"Arhgap45"
0.00948337221266231,1.2180350525105,0.22,0.13,1,"Hltf"
0.00961795160327303,-0.438845919140283,0.815,0.895,1,"Hint1"
0.00964061906258904,-1.3166598018447,0.035,0.1,1,"Ggt5"
0.00967454541454918,0.418537250731136,0.535,0.41,1,"2410006H16Rik"
0.0097066413104837,0.250069783415097,0.96,0.91,1,"Rpl35"
0.00979293791555928,-0.600017681620982,0.27,0.405,1,"Ninj1"
0.00980752433458454,0.723160523120359,0.39,0.285,1,"Tnf"
0.00982278019175333,0.44125533879893,0.635,0.53,1,"Psme1"
0.00983353466624667,-0.584193028728366,0.51,0.605,1,"Nedd8"
0.00984569294224419,0.689810491723161,0.315,0.205,1,"Hnrnpul1"
0.00992865377520949,0.905719577042112,0.145,0.065,1,"Sidt2"
0.0103137533823943,-0.542407069740947,0.21,0.325,1,"Pdcd6ip"
0.0103621781308361,-1.68759646420494,0.05,0.12,1,"Mmp2"
0.010377335276298,-1.22945024410374,0.045,0.115,1,"Golga2"
0.0105601708097442,-0.598593949995532,0.295,0.42,1,"Prkar1a"
0.0105620221610271,0.982351007200032,0.225,0.135,1,"Zfp800"
0.0106693903112138,-0.62996599549921,0.265,0.385,1,"Nenf"
0.0108039789341098,-0.506366703742531,0.385,0.53,1,"Atxn7l3b"
0.0109545851541663,1.04986676879691,0.17,0.085,1,"Nop14"
0.0109664577822149,1.09491413573184,0.255,0.165,1,"Polr2k"
0.0109787524014231,0.382474874890161,0.92,0.94,1,"Hspa5"
0.010984961319547,-1.13429846581213,0.13,0.22,1,"Tmx4"
0.0110771543436751,-1.39066928941035,0.05,0.12,1,"Prelid3b"
0.0111359456153057,1.13718070080936,0.135,0.06,1,"Cgas"
0.0111621461142885,-0.902460697412159,0.16,0.265,1,"Mlec"
0.0112195525918478,1.46306393096325,0.12,0.05,1,"Chp1"
0.0112425703593176,-0.697966979341128,0.195,0.305,1,"Tmem134"
0.0112558221367333,0.804107618680884,0.26,0.16,1,"Eloa"
0.0114062156436785,-1.0338648433017,0.06,0.135,1,"Fer"
0.0114506643538022,-0.569811746649769,0.36,0.47,1,"Hmgn1"
0.0115478921382736,-1.62010461362207,0.065,0.14,1,"Scn1b"
0.0116728261333575,-0.722186524886591,0.165,0.275,1,"Specc1"
0.0117997433806554,-0.607548018350523,0.3,0.415,1,"Swi5"
0.0119185934464667,-0.508932118225969,0.445,0.535,1,"Ndufb11"
0.0120448679007843,-1.22364572570225,0.1,0.185,1,"Rnf10"
0.0121845038346426,0.303892511410623,0.835,0.85,1,"Pabpc1"
0.0122006613767306,0.613311311043472,0.275,0.17,1,"Sumo3"
0.0122702881160986,0.481996303409447,0.505,0.395,1,"Arhgap17"
0.0122728721289938,-0.30513895483012,0.38,0.525,1,"Edf1"
0.0125684558180905,-0.969232139991606,0.115,0.205,1,"Adh5"
0.0126898527507144,-0.62110295086802,0.255,0.37,1,"Tomm22"
0.0128726561525313,-0.531820008400509,0.47,0.615,1,"Dab2"
0.0128985618248498,1.06707461661782,0.16,0.08,1,"Gdpd3"
0.0129835888141249,0.737521259752812,0.43,0.34,1,"Ppig"
0.0130134265706812,-0.652302089964198,0.23,0.34,1,"Coq10b"
0.0131353216535691,1.44897323099778,0.15,0.075,1,"Cnot8"
0.0131968825141385,-0.771829662737009,0.115,0.21,1,"Paxbp1"
0.0133979093523468,0.50611935163031,0.545,0.455,1,"Clec12a"
0.0134083089878886,0.833911291951094,0.2,0.11,1,"Chka"
0.0139180812427739,1.12872453631191,0.235,0.15,1,"Tspan13"
0.013953843512013,-0.673746605812781,0.1,0.19,1,"Gabarapl1"
