"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.6702988962728e-82,3.23088056571503,0.56,0.056,6.71019409644393e-78,"0","Ksr2"
2.8508476905974e-82,2.18762537054858,0.62,0.068,7.1638951617022e-78,"0","Dynlrb2"
6.24742575847288e-82,3.11128387589834,0.6,0.066,1.56991561884665e-77,"0","Scrn1"
1.63604995074101e-81,3.09311053773837,1,0.282,4.11122992121709e-77,"0","Atf5"
1.66474165590599e-81,3.64522819699464,0.45,0.035,4.18332930712617e-77,"0","Kcns3"
1.95227595720101e-81,3.58039294114999,0.55,0.057,4.90587425285042e-77,"0","Nsg2"
3.58973763173105e-81,2.57424969363888,0.94,0.181,9.02065169477696e-77,"0","Fetub"
4.68439807961132e-81,3.37326556729787,0.54,0.054,1.17714239342553e-76,"0","Unc13c"
5.85709424702242e-81,3.27544991739961,0.56,0.058,1.47182921333426e-76,"0","Ppp2r2c"
7.1835884493833e-81,3.34725677775831,0.55,0.056,1.80516394144553e-76,"0","Lrrc10b"
9.98533142337365e-81,3.02451861374761,0.72,0.101,2.50921393337956e-76,"0","Fam13a"
4.00793899082969e-80,3.49041192540551,0.49,0.044,1.00715498900559e-75,"0","Nptxr"
6.13842454274418e-80,3.67920678332479,0.47,0.041,1.54252470334619e-75,"0","Syt4"
9.09522470313942e-80,2.79310465781569,0.67,0.087,2.2855390156519e-75,"0","Rsph1"
1.11564755632777e-79,4.17173827790902,0.37,0.024,2.80351074429606e-75,"0","Kcnmb3"
1.11983682946069e-79,3.40855410935372,1,0.297,2.81403796875178e-75,"0","Stoml3"
2.09801446503237e-79,3.61195695130606,0.49,0.045,5.27210054917985e-75,"0","Snap91"
3.01173966759241e-79,2.55491482822487,0.95,0.201,7.56820061069297e-75,"0","Rtn1"
5.1266109187279e-79,2.6870727997499,0.71,0.096,1.28826605776713e-74,"0","Kif1a"
1.4547503737091e-78,2.75047948379697,0.99,0.259,3.65564221409361e-74,"0","Ncam1"
2.18085345709642e-78,3.55848948795777,0.46,0.039,5.4802666523376e-74,"0","Cfap100"
2.61323137844944e-78,2.79135274726744,0.74,0.108,6.56678913090559e-74,"0","Spa17"
4.81271760850512e-78,3.3055108048564,0.45,0.038,1.20938780784125e-73,"0","Wdr17"
